Période,Trimestre,Nom du bénéficiaire,Ville,Province,Pays,Titre,Langue,Genre,Date,Valeur finale,Valeur originale,Type,Objectif, 
2009-2010,P1,Lyla Films Inc.,Montréal,Québec,Canada,Country Girls,Français,Film musical,2009-05-06,30000.00,20000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 04-DEC-07
2009-2010,P1,Les Productions Vidéo-Films Ltée,Montréal,Québec,Canada,Le retour du Capitaine Bonhomme,Français,Action/Aventure,2009-05-07,60060.00,60060.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Cinémaginaire inc.,Montréal,Québec,Canada,I AM MARIA (a.k.a. La Callas),Français,Drame,2009-05-07,82000.00,82000.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Productions des Années lumière inc.,Québec,Québec,Canada,Desperado,Français,Drame,2009-05-08,35000.00,23000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 26-MAR-08
2009-2010,P1,January Films Ltd.,Toronto,Ontario,Canada,Return to Bikini Mountain,Anglais,Comédie,2009-05-08,48000.00,33000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 28-AUG-08
2009-2010,P1,Cinémaginaire Inc.,Montréal,Québec,Canada,GROS LOT,Français,Drame,2009-05-08,24568.00,53911.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 10-MAY-05
2009-2010,P1,I Studio Cinéma Télévision Inc.,Montréal,Québec,Canada,Premier Amour,Français,Drame,2009-05-08,4200.00,4200.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Films 53/12 Inc.,Montréal,Québec,Canada,Empreintes,Français,Drame,2009-05-11,29000.00,14000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 21-NOV-07
2009-2010,P1,9287-1599 Québec inc.,Montréal,Québec,Canada,Ceci n'est pas un polar,Français,Drame,2009-05-11,14000.00,14000.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Summer Pictures Inc.,Richmond Hill,Ontario,Canada,Scream of a Butterfly,Anglais,Drame,2009-05-11,23620.00,23620.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Hungry Hills Productions Inc.,Regina,Saskatchewan,Canada,Hungry Hills,Anglais,Drame,2009-05-11,550000.00,550000.00,Investissement,Programme d'aide à la production,
2009-2010,P1,Hot Docs,Toronto,Ontario,Canada,Hot Docs 2009,Anglais,0,2009-05-12,125000.00,110000.00,Subvention,Programme de promotion,Contrat amendé signé le 17-MAR-09
2009-2010,P1,K Films Amérique,Montréal,Québec,Canada,J'ai tué ma mère,Français,Drame,2009-05-12,86471.00,86471.00,Avance remboursable,Programme de mise en marché,
2009-2010,P1,Triptych Media Inc.,Toronto,Ontario,Canada,Queen Kristina,Anglais,Drame historique,2009-05-12,36809.00,36809.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Achilles Media Ltd.,Toronto,Ontario,Canada,nextMEDIA - Banff & Vancouver 2009,Anglais,0,2009-05-12,90000.00,90000.00,Subvention,Programme de promotion (Fonds des nouveaux médias du Canada),
2009-2010,P1,Goonworks Films Ltd.,Vancouver,Colombie-Britannique,Canada,Auburn Hills Breakdown (The),Anglais,Comédie,2009-05-13,41479.00,21479.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 20-JAN-08
2009-2010,P1,Atopia Distribution Inc.,Montréal,Québec,Canada,Je me souviens (aka Némésis-Forcier),Français,Comédie,2009-05-13,185888.00,187762.00,Avance remboursable,Programme de mise en marché,Contrat amendé signé le 21-JAN-09
2009-2010,P1,In Face Films Inc.,Delta,Colombie-Britannique,Canada,Trance,Anglais,Drame,2009-05-13,23680.00,23680.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Massey Productions Ltd.,North Vancouver,Colombie-Britannique,Canada,Matching Blue,Anglais,Mystère/Crime/Police,2009-05-13,18700.00,18700.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Stray Dog Productions Inc.,Vancouver,Colombie-Britannique,Canada,Slow and the Dead (The),Anglais,Comédie,2009-05-13,13822.00,13822.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,9184-6774  Québec inc.,Rimouski,Québec,Canada,École ferme (L'),Français,Comédie,2009-05-14,25000.00,25000.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Bensondale Productions Inc.,Toronto,Ontario,Canada,Retreat (The),Anglais,Comédie,2009-05-15,14600.00,14600.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Four Seasons Productions Inc.,Toronto,Ontario,Canada,Falling From Grace,Anglais,Drame,2009-05-15,10000.00,10000.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Peripheral Films Inc. ,Vancouver,Colombie-Britannique,Canada,Mad Robin ,Anglais,Drame,2009-05-19,11822.00,11822.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,3 Legged Dog Films Ltd.,Toronto,Ontario,Canada,"Three in the Back, Two in the Head",Anglais,Horreur/Suspense,2009-05-20,65500.00,25000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 27-SEP-07
2009-2010,P1,Mulmur's One Week Inc.,Mulmur,Ontario,Canada,One Week,Anglais,Drame,2009-05-20,935778.00,941789.00,"Investissement, Avance remboursable",Programme d'aide à la production,Contrat amendé signé le 30-OCT-07
2009-2010,P1,Barbu inc.,Outremont,Québec,Canada,BAISER DU BARBU (LE),Français,Comédie romantique,2009-05-20,689841.00,689841.00,Investissement,Programme d'aide à la production,
2009-2010,P1,Studiofilm Inc.,Montréal,Québec,Canada,À L'ORIGINE D'UN CRI,Français,Drame,2009-05-20,1250000.00,1250000.00,Investissement,Programme d'aide à la production,
2009-2010,P1,L'Etranger Film Productions Ltd. ,Vancouver,Colombie-Britannique,Canada,Dog Creek,Anglais,Action/Aventure,2009-05-21,65850.00,24000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 06-SEP-07
2009-2010,P1,Idéacom International Inc.,Montréal,Québec,Canada,Valse des continents (La),Français,Documentaire,2009-05-21,24032.00,30000.00,Avance remboursable,Mini-traités,Contrat amendé signé le 11-SEP-08
2009-2010,P1,"Cole, Randall",Toronto,Ontario,Canada,Silver and Gold,Anglais,Comédie,2009-05-21,11822.00,11822.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Silo Corporation,Montréal,Québec,Canada,Petit Coin de Paradis (Un) aka: Sirop d'Érable et Camembert,Français,Comédie romantique,2009-05-22,16000.00,16000.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Novem Communications Inc.,Longueuil,Québec,Canada,Lac Mystère,Français,Mystère/Crime/Police,2009-05-25,52000.00,35000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 01-DEC-08
2009-2010,P1,Melenny Productions Inc.,Montréal,Québec,Canada,AUDITION (THE),Anglais,Drame,2009-05-25,97664.00,50064.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 09-DEC-08
2009-2010,P1,Zone3 Inc.,Montréal,Québec,Canada,Mon meilleur ami,Français,Drame,2009-05-25,5800.00,5800.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Zone3 Inc.,Montréal,Québec,Canada,Une par jour,Français,Comédie,2009-05-25,30000.00,30000.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Markham Street Films Inc.,Toronto,Ontario,Canada,Return Of The Fabulous Seven (The),Anglais,Comédie,2009-05-26,55756.00,33129.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 07-AUG-08
2009-2010,P1,K.C.U.S. Productions Inc.,Toronto,Ontario,Canada,Suck,Anglais,Comédie,2009-05-26,1524736.00,1349736.00,Investissement,Programme d'aide à la production,Contrat amendé signé le 01-DEC-08
2009-2010,P1,Optic Nerve Films Inc.,Vancouver,Colombie-Britannique,Canada,John Doe,Anglais,Mystère/Crime/Police,2009-05-26,20000.00,20000.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Hungry Eyes Film & Television Inc.,Toronto,Ontario,Canada,Home Again (Sutherland),Anglais,Drame,2009-05-28,102281.00,30375.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 15-MAR-07
2009-2010,P1,"Strident Films, Inc.",Toronto,Ontario,Canada,Textuality,Anglais,Comédie romantique,2009-05-28,22400.00,22400.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Cité-Amérique Inc.,Montréal,Québec,Canada,Vulnerable,Anglais,Drame,2009-05-28,12700.00,12700.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Neverthere Productions Inc.,Etobicoke,Ontario,Canada,Borders,Anglais,Drame,2009-05-29,33872.00,13822.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 19-MAR-08
2009-2010,P1,Incendies Inc.,Montréal,Québec,Canada,Incendies,Français,Drame,2009-05-29,1900000.00,2200000.00,Investissement,Programme d'aide à la production,Contrat amendé signé le 11-MAR-09
2009-2010,P1,Calder Road Films Inc.,Toronto,Ontario,Canada,Seven Deadly Sins,Anglais,Comédie,2009-05-29,27802.00,27802.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Incendies Inc.,Montréal,Québec,Canada,Incendies,Français,Drame,2009-05-29,300000.00,300000.00,Avance remboursable,Mini-traités,
2009-2010,P1,Digital Arts and Technology Association,Toronto,Ontario,Canada,FITC Toronto 2009,Anglais,0,2009-05-29,50000.00,50000.00,Subvention,Programme de promotion (Fonds des nouveaux médias du Canada),
2009-2010,P1,Jibber Jabber Entertainment Inc.,Pitt Meadows,Colombie-Britannique,Canada,Screw Loose Christmas (A),Anglais,Drame,2009-06-01,65740.00,40740.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 02-APR-08
2009-2010,P1,Javelin Pictures Inc.,Toronto,Ontario,Canada,Illiterature,Anglais,Drame,2009-06-01,30734.00,32289.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 06-JAN-09
2009-2010,P1,T.L. Boulton Productions Ltd.,Toronto,Ontario,Canada,Moody Food,Anglais,Drame,2009-06-01,71989.00,30000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 03-JAN-06
2009-2010,P1,The Film Farm Inc.,Toronto,Ontario,Canada,Journey to the Surface of the Earth,Anglais,Drame,2009-06-01,66450.00,66450.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,4473256 Canada Inc.,Montréal,Québec,Canada,WOLFPACK (THE),Anglais,Comédie,2009-06-02,75290.00,15000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 19-AUG-08
2009-2010,P1,0785878 BC Ltd.,Vancouver,Colombie-Britannique,Canada,Comatose,Anglais,Science-fiction/Film fantastique/Conte,2009-06-02,17213.00,17213.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Starling Road Productions Inc. / Productions Starling Road Inc.,Ile Perrot,Québec,Canada,Sept comme Setteur,Français,Action/Aventure,2009-06-02,22900.00,22900.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Possibles Média inc.,Montréal,Québec,Canada,Disparus,Français,Drame,2009-06-02,10000.00,10000.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Park Ex Pictures Inc.,Montréal,Québec,Canada,Notre Dame de Grâce,Anglais,Mystère/Crime/Police,2009-06-02,71229.00,71229.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Buffalo Gal Pictures Development Inc.,Winnipeg,Manitoba,Canada,Kush Kush in the Bush:  Bollywood Comes to the Trailer Park,Anglais,Comédie romantique,2009-06-03,42004.00,30000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 30-JAN-08
2009-2010,P1,Six Island Productions Inc.,Toronto,Ontario,Canada,Malabar Court,Anglais,Drame,2009-06-03,35796.00,35796.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,"Bodruzic, Bojan",Vancouver,Colombie-Britannique,Canada,Sputnik,Anglais,Horreur/Suspense,2009-06-04,11822.00,11822.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Eagle Vision Inc.,Winnipeg,Manitoba,Canada,Strange Love,Anglais,Comédie romantique,2009-06-05,58004.00,34135.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 24-SEP-08
2009-2010,P1,Canadian Media Production Association - Association Canadienne de Production de Média,Ottawa,Ontario,Canada,CFTPA Prime Time & Indie Awards 2009,Anglais,0,2009-06-05,0.00,20000.00,Contribution,Programme de promotion,Contrat amendé signé le 15-JAN-09
2009-2010,P1,E1 Films Canada Inc.,Toronto,Ontario,Canada,Bang Bang Club (The),Anglais,Drame historique,2009-06-05,12600.00,12600.00,Avance remboursable,Programme de mise en marché à l'international,
2009-2010,P1,Suki Films Inc.,Westmount,Québec,Canada,Rose By Name,Anglais,Horreur/Suspense,2009-06-05,16266.00,16266.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Silo Corporation,Montréal,Québec,Canada,Gastown (Beckett),Anglais,Comédie romantique,2009-06-05,30000.00,30000.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Productions Pimiento inc.,Montréal,Québec,Canada,Mon fils est un lofteur,Français,Comédie,2009-06-05,15000.00,15000.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Artifact Films 2011 Inc.,Garibaldi Highlands,Colombie-Britannique,Canada,Chamber (The),Anglais,Horreur/Suspense,2009-06-05,20000.00,20000.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,4181743 Canada Inc.,Montréal,Québec,Canada,Concert des voix (Le),Français,Documentaire,2009-06-05,137500.00,137500.00,Investissement,Programme pour le long métrage documentaire,
2009-2010,P1,Insomnia Productions Inc.,Nanaimo,Colombie-Britannique,Canada,Secret Life of John McCready (The ),Anglais,Mystère/Crime/Police,2009-06-08,45864.00,27160.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 18-NOV-08
2009-2010,P1,Amoniak Film Distributions,Montréal,Québec,Canada,Encerclement (L')  (aka La pensée unique),Français,Documentaire,2009-06-08,9500.00,9500.00,Avance remboursable,Programme de mise en marché,
2009-2010,P1,Shoes Full of Feet Inc.,Toronto,Ontario,Canada,Schooled,Anglais,Action/Aventure,2009-06-08,14900.00,14900.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Association des Producteurs de Films et de TV du Québec,Montréal,Québec,Canada,Congrès APFTQ 2009,Français,0,2009-06-08,6600.00,6600.00,Contribution,Programme de promotion,
2009-2010,P1,Jalloo Foundation Inc.,Miramichi,Nouveau-Brunswick,Canada,Jalloo Festival of Animation and Games,Anglais,0,2009-06-08,18440.00,18440.00,Subvention,Programme de promotion (Fonds des nouveaux médias du Canada),
2009-2010,P1,English Online Inc.,North Vancouver,Colombie-Britannique,Canada,EnglishLive.ca,Anglais,Ludo-Éducatif,2009-06-10,93616.00,91000.00,Avance remboursable,Programme d'aide à la production (Fonds des nouveaux médias du Canada),Contrat amendé signé le 11-OCT-05
2009-2010,P1,English Online Inc.,North Vancouver,Colombie-Britannique,Canada,EnglishLive.ca,Anglais,Ludo-Éducatif,2009-06-10,135867.00,138483.00,Avance remboursable,Programme de mise en marché (Fonds des nouveaux médias du Canada),Contrat amendé signé le 11-OCT-05
2009-2010,P1,Eye Steel Film Inc.,Montréal,Québec,Canada,Jingle Bell Rocks,Anglais,Documentaire,2009-06-10,5000.00,5000.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Association coopérative de productions audio-visuelles,Montréal,Québec,Canada,Iqaluit,Français,Drame,2009-06-10,16000.00,16000.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Orca Productions Inc. ,Vancouver,Colombie-Britannique,Canada,Volunteer (The),Anglais,Drame,2009-06-11,63326.00,38326.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 08-MAY-08
2009-2010,P1,"Thomas, Jeremy",Calgary,Alberta,Canada,Princess Fat Ass,Anglais,Comédie,2009-06-12,33872.00,13822.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 02-SEP-08
2009-2010,P1,Oasis Productions Inc.,North Vancouver,Colombie-Britannique,Canada,McLean Boys (The),Anglais,Action/Aventure,2009-06-12,72580.00,11015.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 21-AUG-98
2009-2010,P1,Cirrus Communications Inc. - compagnie fusionnée ,Montréal,Québec,Canada,Rallonge (La),Français,Drame,2009-06-12,31000.00,16000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 22-SEP-08
2009-2010,P1,Certain Films Ltd.,Calgary,Alberta,Canada,On The Blood,Anglais,Drame,2009-06-15,30041.00,30041.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Les Films Jessie inc.,Montréal,Québec,Canada,Therac 25,Anglais,Drame,2009-06-17,27110.00,27110.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Filmarto Inc.,Montréal,Québec,Canada,Max et le Secret de la Rivière Manitou,Français,Action/Aventure,2009-06-17,20000.00,20000.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,"Girard, Martin",Montréal,Québec,Canada,Vengeance (Martin),Français,Science-fiction/Film fantastique/Conte,2009-06-18,13822.00,13822.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Alliance Vivafilm Inc.,Montréal,Québec,Canada,MODERN LOVE (KAZANDJIAN),Français,Drame,2009-06-19,30794.00,61958.00,Avance remboursable,Programme de mise en marché,Contrat amendé signé le 06-JAN-09
2009-2010,P1,Alliance Vivafilm Inc.,Montréal,Québec,Canada,SERVEUSES DEMANDEES,Français,Drame,2009-06-19,36983.00,61958.00,Avance remboursable,Programme de mise en marché,Contrat amendé signé le 06-JAN-09
2009-2010,P1,Alliance Vivafilm Inc.,Montréal,Québec,Canada,GRAND DÉPART (LE) (Meunier),Français,Comédie,2009-06-19,484026.00,543377.00,Avance remboursable,Programme de mise en marché,Contrat amendé signé le 10-DEC-08
2009-2010,P1,Lyla Films Inc.,Montréal,Québec,Canada,Vivaldi,Anglais,Drame historique,2009-06-19,50000.00,50000.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Calder Road Films Inc.,Toronto,Ontario,Canada,Death of Sweet Mister (The),Anglais,Horreur/Suspense,2009-06-19,27792.00,27792.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,AMF Productions Inc.,Vancouver,Colombie-Britannique,Canada,Ming Rose: Slammer ,Anglais,Drame,2009-06-22,48640.00,24000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 15-OCT-08
2009-2010,P1,Productions 1984 inc.,Montréal,Québec,Canada,40 is the new 20,Anglais,Comédie,2009-06-22,20000.00,20000.00,Avance remboursable,Programme de mise en marché,
2009-2010,P1,Melenny Productions Inc.,Montréal,Québec,Canada,HOCKEY NIGHT IN MOOSE JAW,Anglais,Comédie,2009-06-22,75000.00,75000.00,Avance remboursable,Programme d'aide au développement,
